Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 1,Region 1,5
Region 1,Region 2,4
Region 1,Region 3,3
Region 1,Region 4,4
Region 1,Region 5,0
Region 1,Region 6,3
Region 1,Region 7,6
Region 1,Region 8,0
Region 1,Region 9,0
Region 1,Region 10,7
Region 1,Region 11,1
Region 1,Region 12,4
Region 1,Region 13,0
Region 1,Region 14,4
Region 1,Region 15,1
Region 1,Region 16,0
Region 1,Region 17,0
Region 1,Region 18,3
Region 1,Region 19,0
Region 1,Region 20,0
Region 1,Region 21,5
Region 1,Region 22,8
Region 1,Region 23,0
Region 1,Region 24,1
Region 1,Region 25,2
Region 1,Region 26,2
Region 1,Region 27,5
Region 1,Region 28,3
Region 1,Region 29,0
Region 1,Region 30,0
Region 1,Region 31,0
Region 1,Region 32,1
Region 1,Region 33,5
Region 1,Region 34,0
Region 1,Region 35,0
Region 2,Region 1,1
Region 2,Region 2,9
Region 2,Region 3,0
Region 2,Region 4,2
Region 2,Region 5,6
Region 2,Region 6,5
Region 2,Region 7,4
Region 2,Region 8,0
Region 2,Region 9,1
Region 2,Region 10,2
Region 2,Region 11,1
Region 2,Region 12,1
Region 2,Region 13,0
Region 2,Region 14,3
Region 2,Region 15,3
Region 2,Region 16,6
Region 2,Region 17,1
Region 2,Region 18,6
Region 2,Region 19,3
Region 2,Region 20,0
Region 2,Region 21,1
Region 2,Region 22,24
Region 2,Region 23,0
Region 2,Region 24,5
Region 2,Region 25,0
Region 2,Region 26,4
Region 2,Region 27,4
Region 2,Region 28,0
Region 2,Region 29,0
Region 2,Region 30,0
Region 2,Region 31,1
Region 2,Region 32,0
Region 2,Region 33,23
Region 2,Region 34,0
Region 2,Region 35,0
Region 3,Region 1,3
Region 3,Region 2,3
Region 3,Region 3,6
Region 3,Region 4,7
Region 3,Region 5,1
Region 3,Region 6,0
Region 3,Region 7,11
Region 3,Region 8,9
Region 3,Region 9,2
Region 3,Region 10,27
Region 3,Region 11,0
Region 3,Region 12,5
Region 3,Region 13,6
Region 3,Region 14,1
Region 3,Region 15,1
Region 3,Region 16,2
Region 3,Region 17,0
Region 3,Region 18,2
Region 3,Region 19,3
Region 3,Region 20,0
Region 3,Region 21,0
Region 3,Region 22,16
Region 3,Region 23,1
Region 3,Region 24,6
Region 3,Region 25,0
Region 3,Region 26,7
Region 3,Region 27,12
Region 3,Region 28,1
Region 3,Region 29,1
Region 3,Region 30,2
Region 3,Region 31,0
Region 3,Region 32,0
Region 3,Region 33,21
Region 3,Region 34,1
Region 3,Region 35,2
Region 4,Region 1,8
Region 4,Region 2,1
Region 4,Region 3,3
Region 4,Region 4,37
Region 4,Region 5,9
Region 4,Region 6,9
Region 4,Region 7,14
Region 4,Region 8,1
Region 4,Region 9,2
Region 4,Region 10,27
Region 4,Region 11,4
Region 4,Region 12,6
Region 4,Region 13,1
Region 4,Region 14,9
Region 4,Region 15,4
Region 4,Region 16,10
Region 4,Region 17,6
Region 4,Region 18,23
Region 4,Region 19,12
Region 4,Region 20,2
Region 4,Region 21,4
Region 4,Region 22,40
Region 4,Region 23,3
Region 4,Region 24,26
Region 4,Region 25,0
Region 4,Region 26,3
Region 4,Region 27,10
Region 4,Region 28,4
Region 4,Region 29,2
Region 4,Region 30,2
Region 4,Region 31,0
Region 4,Region 32,0
Region 4,Region 33,36
Region 4,Region 34,2
Region 4,Region 35,2
Region 5,Region 1,3
Region 5,Region 2,2
Region 5,Region 3,0
Region 5,Region 4,8
Region 5,Region 5,8
Region 5,Region 6,0
Region 5,Region 7,5
Region 5,Region 8,3
Region 5,Region 9,2
Region 5,Region 10,9
Region 5,Region 11,3
Region 5,Region 12,1
Region 5,Region 13,2
Region 5,Region 14,0
Region 5,Region 15,0
