Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 1,Region 1,1
Region 1,Region 2,2
Region 1,Region 3,0
Region 1,Region 4,4
Region 1,Region 5,0
Region 1,Region 6,2
Region 1,Region 7,4
Region 1,Region 8,0
Region 1,Region 9,0
Region 1,Region 10,2
Region 1,Region 11,1
Region 1,Region 12,4
Region 1,Region 13,0
Region 1,Region 14,0
Region 1,Region 15,1
Region 1,Region 16,0
Region 1,Region 17,0
Region 1,Region 18,3
Region 1,Region 19,0
Region 1,Region 20,0
Region 1,Region 21,1
Region 1,Region 22,2
Region 1,Region 23,0
Region 1,Region 24,0
Region 1,Region 25,0
Region 1,Region 26,0
Region 1,Region 27,0
Region 1,Region 28,1
Region 1,Region 29,0
Region 1,Region 30,0
Region 1,Region 31,0
Region 1,Region 32,0
Region 1,Region 33,0
Region 1,Region 34,0
Region 1,Region 35,0
Region 1,External,11
Region 2,Region 1,1
Region 2,Region 2,2
Region 2,Region 3,0
Region 2,Region 4,1
Region 2,Region 5,6
Region 2,Region 6,4
Region 2,Region 7,4
Region 2,Region 8,0
Region 2,Region 9,1
Region 2,Region 10,0
Region 2,Region 11,1
Region 2,Region 12,1
Region 2,Region 13,0
Region 2,Region 14,3
Region 2,Region 15,3
Region 2,Region 16,4
Region 2,Region 17,1
Region 2,Region 18,5
Region 2,Region 19,1
Region 2,Region 20,0
Region 2,Region 21,1
Region 2,Region 22,4
Region 2,Region 23,0
Region 2,Region 24,1
Region 2,Region 25,0
Region 2,Region 26,0
Region 2,Region 27,0
Region 2,Region 28,0
Region 2,Region 29,0
Region 2,Region 30,0
Region 2,Region 31,0
Region 2,Region 32,0
Region 2,Region 33,0
Region 2,Region 34,0
Region 2,Region 35,0
Region 2,External,46
Region 3,Region 1,2
Region 3,Region 2,3
Region 3,Region 3,4
Region 3,Region 4,5
Region 3,Region 5,1
Region 3,Region 6,0
Region 3,Region 7,3
Region 3,Region 8,9
Region 3,Region 9,2
Region 3,Region 10,14
Region 3,Region 11,0
Region 3,Region 12,5
Region 3,Region 13,3
Region 3,Region 14,1
Region 3,Region 15,1
Region 3,Region 16,2
Region 3,Region 17,0
Region 3,Region 18,1
Region 3,Region 19,2
Region 3,Region 20,0
Region 3,Region 21,0
Region 3,Region 22,2
Region 3,Region 23,1
Region 3,Region 24,0
Region 3,Region 25,0
Region 3,Region 26,0
Region 3,Region 27,0
Region 3,Region 28,0
Region 3,Region 29,1
Region 3,Region 30,2
Region 3,Region 31,0
Region 3,Region 32,0
Region 3,Region 33,0
Region 3,Region 34,0
Region 3,Region 35,2
Region 3,External,53
Region 4,Region 1,6
Region 4,Region 2,1
Region 4,Region 3,3
Region 4,Region 4,21
Region 4,Region 5,7
Region 4,Region 6,5
