Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 1,Region 1,28
Region 1,Region 2,74
Region 1,Region 3,29
Region 1,Region 4,4
Region 1,Region 5,2
Region 1,Region 6,2
Region 1,Region 7,1
Region 1,Region 8,1
Region 1,Region 9,19
Region 1,Region 10,2
Region 1,Region 11,1
Region 1,Region 12,5
Region 1,Region 13,77
Region 1,Region 14,17
Region 1,Region 15,43
Region 1,Region 16,26
Region 1,Region 17,23
Region 1,Region 18,0
Region 1,Region 19,1
Region 1,Region 20,3
Region 1,Region 21,0
Region 1,Region 22,3
Region 1,Region 23,2
Region 1,Region 24,1
Region 1,Region 25,1
Region 1,Region 26,0
Region 1,Region 27,34
Region 1,Region 28,4
Region 1,Region 29,14
Region 1,Region 30,15
Region 1,Region 31,1
Region 1,Region 32,0
Region 1,Region 33,1
Region 1,Region 34,5
Region 1,Region 35,24
Region 1,Region 36,1
Region 1,Region 37,1
Region 1,Region 38,3
Region 1,Region 39,0
Region 1,Region 40,4
Region 1,Region 41,0
Region 1,Region 42,10
Region 1,Region 43,0
Region 1,Region 44,2
Region 2,Region 1,94
Region 2,Region 2,253
Region 2,Region 3,12
Region 2,Region 4,73
Region 2,Region 5,88
Region 2,Region 6,5
Region 2,Region 7,54
Region 2,Region 8,17
Region 2,Region 9,163
Region 2,Region 10,1
Region 2,Region 11,3
Region 2,Region 12,16
Region 2,Region 13,10
Region 2,Region 14,33
Region 2,Region 15,58
Region 2,Region 16,63
Region 2,Region 17,409
Region 2,Region 18,45
Region 2,Region 19,26
Region 2,Region 20,33
Region 2,Region 21,10
Region 2,Region 22,6
Region 2,Region 23,38
Region 2,Region 24,18
Region 2,Region 25,1
Region 2,Region 26,4
Region 2,Region 27,27
Region 2,Region 28,16
Region 2,Region 29,9
Region 2,Region 30,9
Region 2,Region 31,1
Region 2,Region 32,11
Region 2,Region 33,7
Region 2,Region 34,30
Region 2,Region 35,323
Region 2,Region 36,17
Region 2,Region 37,9
Region 2,Region 38,44
Region 2,Region 39,34
Region 2,Region 40,33
Region 2,Region 41,0
Region 2,Region 42,56
Region 2,Region 43,8
Region 2,Region 44,24
Region 3,Region 1,54
Region 3,Region 2,11
Region 3,Region 3,66
Region 3,Region 4,3
Region 3,Region 5,5
Region 3,Region 6,0
Region 3,Region 7,4
Region 3,Region 8,1
Region 3,Region 9,26
Region 3,Region 10,0
Region 3,Region 11,33
Region 3,Region 12,28
Region 3,Region 13,86
Region 3,Region 14,47
Region 3,Region 15,32
Region 3,Region 16,3
Region 3,Region 17,107
Region 3,Region 18,4
Region 3,Region 19,6
Region 3,Region 20,12
Region 3,Region 21,6
Region 3,Region 22,6
Region 3,Region 23,12
Region 3,Region 24,17
Region 3,Region 25,1
Region 3,Region 26,2
Region 3,Region 27,49
Region 3,Region 28,16
Region 3,Region 29,15
Region 3,Region 30,29
Region 3,Region 31,5
