Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 1,Region 1,0
Region 1,Region 2,0
Region 1,Region 3,0
Region 1,Region 4,0
Region 1,Region 5,0
Region 1,Region 6,0
Region 1,Region 7,0
Region 1,Region 8,0
Region 1,Region 9,0
Region 1,Region 10,0
Region 1,Region 11,0
Region 1,Region 12,0
Region 1,Region 13,0
Region 1,Region 14,1
Region 1,Region 15,1
Region 1,Region 16,0
Region 1,Region 17,1
Region 1,Region 18,0
Region 1,Region 19,0
Region 1,Region 20,0
Region 1,Region 21,0
Region 1,Region 22,0
Region 1,Region 23,0
Region 1,Region 24,0
Region 1,Region 25,0
Region 1,Region 26,0
Region 1,Region 27,0
Region 1,Region 28,0
Region 1,Region 29,3
Region 1,Region 30,0
Region 1,Region 31,0
Region 1,Region 32,0
Region 1,Region 33,0
Region 1,Region 34,1
Region 1,Region 35,0
Region 1,Region 36,0
Region 1,Region 37,0
Region 1,Region 38,0
Region 1,Region 39,0
Region 1,Region 40,1
Region 1,Region 41,0
Region 1,Region 42,0
Region 1,Region 43,0
Region 1,Region 44,0
Region 1,External,3
Region 2,Region 1,0
Region 2,Region 2,8
Region 2,Region 3,1
Region 2,Region 4,2
Region 2,Region 5,3
Region 2,Region 6,1
Region 2,Region 7,1
Region 2,Region 8,1
Region 2,Region 9,8
Region 2,Region 10,0
Region 2,Region 11,0
Region 2,Region 12,0
Region 2,Region 13,1
Region 2,Region 14,3
Region 2,Region 15,5
Region 2,Region 16,7
Region 2,Region 17,3
Region 2,Region 18,1
Region 2,Region 19,0
Region 2,Region 20,0
Region 2,Region 21,1
Region 2,Region 22,0
Region 2,Region 23,0
Region 2,Region 24,2
Region 2,Region 25,0
Region 2,Region 26,0
Region 2,Region 27,5
Region 2,Region 28,0
Region 2,Region 29,0
Region 2,Region 30,0
Region 2,Region 31,0
Region 2,Region 32,0
Region 2,Region 33,1
Region 2,Region 34,1
Region 2,Region 35,0
Region 2,Region 36,1
Region 2,Region 37,1
Region 2,Region 38,2
Region 2,Region 39,0
Region 2,Region 40,0
Region 2,Region 41,0
Region 2,Region 42,0
Region 2,Region 43,0
Region 2,Region 44,0
Region 2,External,49
Region 3,Region 1,1
Region 3,Region 2,0
Region 3,Region 3,2
Region 3,Region 4,1
Region 3,Region 5,0
Region 3,Region 6,0
Region 3,Region 7,0
Region 3,Region 8,0
Region 3,Region 9,0
Region 3,Region 10,0
Region 3,Region 11,0
Region 3,Region 12,3
Region 3,Region 13,1
Region 3,Region 14,3
Region 3,Region 15,1
Region 3,Region 16,0
Region 3,Region 17,1
Region 3,Region 18,0
Region 3,Region 19,0
Region 3,Region 20,0
Region 3,Region 21,1
Region 3,Region 22,0
