Origin,Destination,Date range: 2021-01-04 - 2021-01-29 Time range: 07:00 - 09:00
Region 1,Region 1,0
Region 1,Region 2,3
Region 1,Region 3,0
Region 1,Region 4,0
Region 1,Region 5,0
Region 1,Region 6,0
Region 1,Region 7,0
Region 1,Region 8,0
Region 1,Region 9,5
Region 1,Region 10,0
Region 1,Region 11,0
Region 1,Region 12,0
Region 1,Region 13,4
Region 1,Region 14,1
Region 1,Region 15,3
Region 1,Region 16,0
Region 1,Region 17,10
Region 1,Region 18,1
Region 1,Region 19,0
Region 1,Region 20,1
Region 1,Region 21,0
Region 1,Region 22,0
Region 1,Region 23,0
Region 1,Region 24,0
Region 1,Region 25,0
Region 1,Region 26,0
Region 1,Region 27,0
Region 1,Region 28,0
Region 1,Region 29,17
Region 1,Region 30,0
Region 1,Region 31,0
Region 1,Region 32,0
Region 1,Region 33,0
Region 1,Region 34,1
Region 1,Region 35,6
Region 1,Region 36,0
Region 1,Region 37,0
Region 1,Region 38,0
Region 1,Region 39,1
Region 1,Region 40,1
Region 1,Region 41,0
Region 1,Region 42,2
Region 1,Region 43,0
Region 1,Region 44,0
Region 2,Region 1,2
Region 2,Region 2,49
Region 2,Region 3,7
Region 2,Region 4,12
Region 2,Region 5,17
Region 2,Region 6,7
Region 2,Region 7,18
Region 2,Region 8,4
Region 2,Region 9,64
Region 2,Region 10,0
Region 2,Region 11,0
Region 2,Region 12,2
Region 2,Region 13,6
Region 2,Region 14,19
Region 2,Region 15,24
Region 2,Region 16,23
Region 2,Region 17,128
Region 2,Region 18,8
Region 2,Region 19,4
Region 2,Region 20,12
Region 2,Region 21,3
Region 2,Region 22,0
Region 2,Region 23,20
Region 2,Region 24,17
Region 2,Region 25,3
Region 2,Region 26,0
Region 2,Region 27,10
Region 2,Region 28,1
Region 2,Region 29,6
Region 2,Region 30,2
Region 2,Region 31,0
Region 2,Region 32,5
Region 2,Region 33,10
Region 2,Region 34,6
Region 2,Region 35,106
Region 2,Region 36,7
Region 2,Region 37,7
Region 2,Region 38,17
Region 2,Region 39,3
Region 2,Region 40,4
Region 2,Region 41,0
Region 2,Region 42,13
Region 2,Region 43,1
Region 2,Region 44,1
Region 3,Region 1,4
Region 3,Region 2,1
Region 3,Region 3,7
Region 3,Region 4,1
Region 3,Region 5,0
Region 3,Region 6,0
Region 3,Region 7,0
Region 3,Region 8,0
Region 3,Region 9,15
Region 3,Region 10,0
Region 3,Region 11,3
Region 3,Region 12,6
Region 3,Region 13,8
Region 3,Region 14,22
Region 3,Region 15,4
Region 3,Region 16,3
Region 3,Region 17,19
Region 3,Region 18,3
Region 3,Region 19,0
Region 3,Region 20,3
Region 3,Region 21,1
Region 3,Region 22,1
Region 3,Region 23,6
Region 3,Region 24,3
Region 3,Region 25,0
Region 3,Region 26,0
Region 3,Region 27,17
Region 3,Region 28,7
Region 3,Region 29,3
Region 3,Region 30,0
Region 3,Region 31,0
Region 3,Region 32,7
Region 3,Region 33,12
Region 3,Region 34,2
Region 3,Region 35,45
Region 3,Region 36,1
Region 3,Region 37,0
Region 3,Region 38,1
Region 3,Region 39,2
Region 3,Region 40,4
Region 3,Region 41,0
Region 3,Region 42,5
Region 3,Region 43,0
Region 3,Region 44,1
Region 4,Region 1,2
Region 4,Region 2,13
Region 4,Region 3,1
Region 4,Region 4,12
Region 4,Region 5,9
Region 4,Region 6,0
Region 4,Region 7,6
Region 4,Region 8,1
Region 4,Region 9,37
Region 4,Region 10,0
Region 4,Region 11,0
Region 4,Region 12,3
Region 4,Region 13,4
Region 4,Region 14,3
Region 4,Region 15,9
Region 4,Region 16,15
Region 4,Region 17,100
Region 4,Region 18,9
Region 4,Region 19,10
Region 4,Region 20,27
Region 4,Region 21,1
Region 4,Region 22,0
Region 4,Region 23,7
Region 4,Region 24,5
Region 4,Region 25,1
Region 4,Region 26,0
Region 4,Region 27,6
Region 4,Region 28,3
Region 4,Region 29,19
Region 4,Region 30,3
Region 4,Region 31,1
Region 4,Region 32,0
Region 4,Region 33,2
Region 4,Region 34,7
Region 4,Region 35,98
Region 4,Region 36,3
Region 4,Region 37,24
Region 4,Region 38,4
Region 4,Region 39,0
Region 4,Region 40,6
Region 4,Region 41,0
Region 4,Region 42,13
Region 4,Region 43,2
Region 4,Region 44,5
Region 5,Region 1,0
Region 5,Region 2,8
Region 5,Region 3,1
Region 5,Region 4,3
Region 5,Region 5,27
Region 5,Region 6,2
Region 5,Region 7,6
Region 5,Region 8,6
Region 5,Region 9,49
Region 5,Region 10,0
Region 5,Region 11,0
Region 5,Region 12,1
Region 5,Region 13,0
Region 5,Region 14,0
Region 5,Region 15,1
Region 5,Region 16,3
Region 5,Region 17,85
Region 5,Region 18,28
Region 5,Region 19,13
Region 5,Region 20,15
Region 5,Region 21,5
Region 5,Region 22,1
Region 5,Region 23,18
Region 5,Region 24,10
Region 5,Region 25,0
Region 5,Region 26,0
Region 5,Region 27,1
Region 5,Region 28,0
Region 5,Region 29,3
Region 5,Region 30,3
Region 5,Region 31,0
Region 5,Region 32,0
Region 5,Region 33,6
Region 5,Region 34,3
Region 5,Region 35,108
Region 5,Region 36,0
Region 5,Region 37,18
Region 5,Region 38,3
Region 5,Region 39,3
Region 5,Region 40,4
Region 5,Region 41,0
Region 5,Region 42,9
Region 5,Region 43,2
Region 5,Region 44,5
Region 6,Region 1,0
Region 6,Region 2,0
