Origin,Destination,Date range: 2021-01-18 - 2021-01-22 Time range: 07:00 - 09:00
Region 1,Region 1,0
Region 1,Region 2,0
Region 1,Region 3,0
Region 1,Region 4,0
Region 1,Region 5,0
Region 1,Region 6,0
Region 1,Region 7,0
Region 1,Region 8,0
Region 1,Region 9,1
Region 1,Region 10,0
Region 1,Region 11,0
Region 1,Region 12,0
Region 1,Region 13,0
Region 1,Region 14,0
Region 1,Region 15,0
Region 1,Region 16,0
Region 1,Region 17,2
Region 1,Region 18,0
Region 1,Region 19,0
Region 1,Region 20,0
Region 1,Region 21,0
Region 1,Region 22,0
Region 1,Region 23,0
Region 1,Region 24,0
Region 1,Region 25,0
Region 1,Region 26,0
Region 1,Region 27,0
Region 1,Region 28,0
Region 1,Region 29,6
Region 1,Region 30,0
Region 1,Region 31,0
Region 1,Region 32,0
Region 1,Region 33,0
Region 1,Region 34,0
Region 1,Region 35,3
Region 1,Region 36,0
Region 1,Region 37,0
Region 1,Region 38,0
Region 1,Region 39,0
Region 1,Region 40,0
Region 1,Region 41,0
Region 1,Region 42,1
Region 1,Region 43,0
Region 1,Region 44,0
Region 2,Region 1,2
Region 2,Region 2,13
Region 2,Region 3,3
Region 2,Region 4,3
Region 2,Region 5,5
Region 2,Region 6,2
Region 2,Region 7,3
Region 2,Region 8,1
Region 2,Region 9,17
Region 2,Region 10,0
Region 2,Region 11,0
Region 2,Region 12,1
Region 2,Region 13,1
Region 2,Region 14,5
Region 2,Region 15,5
Region 2,Region 16,5
Region 2,Region 17,43
Region 2,Region 18,2
Region 2,Region 19,0
Region 2,Region 20,2
Region 2,Region 21,0
Region 2,Region 22,0
Region 2,Region 23,4
Region 2,Region 24,4
Region 2,Region 25,1
Region 2,Region 26,0
Region 2,Region 27,1
Region 2,Region 28,0
Region 2,Region 29,0
Region 2,Region 30,1
Region 2,Region 31,0
Region 2,Region 32,0
Region 2,Region 33,4
Region 2,Region 34,0
Region 2,Region 35,28
Region 2,Region 36,0
Region 2,Region 37,3
Region 2,Region 38,3
Region 2,Region 39,1
Region 2,Region 40,2
Region 2,Region 41,0
Region 2,Region 42,3
Region 2,Region 43,0
Region 2,Region 44,1
Region 3,Region 1,3
Region 3,Region 2,0
Region 3,Region 3,2
Region 3,Region 4,0
Region 3,Region 5,0
Region 3,Region 6,0
Region 3,Region 7,0
Region 3,Region 8,0
Region 3,Region 9,5
Region 3,Region 10,0
Region 3,Region 11,1
Region 3,Region 12,1
Region 3,Region 13,0
Region 3,Region 14,5
Region 3,Region 15,1
Region 3,Region 16,0
Region 3,Region 17,8
Region 3,Region 18,2
Region 3,Region 19,0
Region 3,Region 20,1
Region 3,Region 21,0
Region 3,Region 22,0
Region 3,Region 23,3
Region 3,Region 24,1
