Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 1,Region 1,3
Region 1,Region 2,0
Region 1,Region 3,3
Region 1,Region 4,3
Region 1,Region 5,6
Region 1,Region 6,3
Region 1,Region 7,1
Region 1,Region 8,0
Region 1,Region 9,2
Region 1,Region 10,3
Region 1,Region 11,1
Region 1,Region 12,0
Region 1,Region 13,1
Region 1,Region 14,3
Region 1,Region 15,2
Region 1,Region 16,0
Region 1,Region 17,0
Region 1,Region 18,0
Region 1,Region 19,1
Region 1,Region 20,1
Region 1,Region 21,1
Region 1,Region 22,0
Region 1,Region 23,0
Region 1,Region 24,0
Region 1,Region 25,0
Region 1,Region 26,4
Region 1,Region 27,5
Region 1,Region 28,6
Region 1,Region 29,0
Region 1,Region 30,0
Region 1,External,39
Region 2,Region 1,2
Region 2,Region 2,3
Region 2,Region 3,0
Region 2,Region 4,1
Region 2,Region 5,4
Region 2,Region 6,1
Region 2,Region 7,0
Region 2,Region 8,0
Region 2,Region 9,2
Region 2,Region 10,2
Region 2,Region 11,1
Region 2,Region 12,2
Region 2,Region 13,1
Region 2,Region 14,6
Region 2,Region 15,2
Region 2,Region 16,0
Region 2,Region 17,0
Region 2,Region 18,2
Region 2,Region 19,1
Region 2,Region 20,1
Region 2,Region 21,1
Region 2,Region 22,0
Region 2,Region 23,0
Region 2,Region 24,1
Region 2,Region 25,0
Region 2,Region 26,0
Region 2,Region 27,5
Region 2,Region 28,2
Region 2,Region 29,0
Region 2,Region 30,0
Region 2,External,42
Region 3,Region 1,0
Region 3,Region 2,0
Region 3,Region 3,1
Region 3,Region 4,0
Region 3,Region 5,0
Region 3,Region 6,0
Region 3,Region 7,1
Region 3,Region 8,0
Region 3,Region 9,1
Region 3,Region 10,0
Region 3,Region 11,1
Region 3,Region 12,0
Region 3,Region 13,0
Region 3,Region 14,1
Region 3,Region 15,0
Region 3,Region 16,0
Region 3,Region 17,2
Region 3,Region 18,1
Region 3,Region 19,0
Region 3,Region 20,0
Region 3,Region 21,0
Region 3,Region 22,2
Region 3,Region 23,0
Region 3,Region 24,1
Region 3,Region 25,0
Region 3,Region 26,0
Region 3,Region 27,0
Region 3,Region 28,5
Region 3,Region 29,0
Region 3,Region 30,2
Region 3,External,23
Region 4,Region 1,0
Region 4,Region 2,0
Region 4,Region 3,1
Region 4,Region 4,0
Region 4,Region 5,3
Region 4,Region 6,2
Region 4,Region 7,0
Region 4,Region 8,0
Region 4,Region 9,0
Region 4,Region 10,2
Region 4,Region 11,0
Region 4,Region 12,0
Region 4,Region 13,0
Region 4,Region 14,0
Region 4,Region 15,1
Region 4,Region 16,0
Region 4,Region 17,0
Region 4,Region 18,0
Region 4,Region 19,0
Region 4,Region 20,1
Region 4,Region 21,0
Region 4,Region 22,0
Region 4,Region 23,0
Region 4,Region 24,0
Region 4,Region 25,0
Region 4,Region 26,0
Region 4,Region 27,1
Region 4,Region 28,1
Region 4,Region 29,0
Region 4,Region 30,0
Region 4,External,15
Region 5,Region 1,8
Region 5,Region 2,2
Region 5,Region 3,1
Region 5,Region 4,2
Region 5,Region 5,47
Region 5,Region 6,13
Region 5,Region 7,18
Region 5,Region 8,21
Region 5,Region 9,12
Region 5,Region 10,8
Region 5,Region 11,4
Region 5,Region 12,1
Region 5,Region 13,2
Region 5,Region 14,5
Region 5,Region 15,2
Region 5,Region 16,0
Region 5,Region 17,1
Region 5,Region 18,1
Region 5,Region 19,2
Region 5,Region 20,8
Region 5,Region 21,1
Region 5,Region 22,11
Region 5,Region 23,0
Region 5,Region 24,3
Region 5,Region 25,9
Region 5,Region 26,0
Region 5,Region 27,15
Region 5,Region 28,7
Region 5,Region 29,2
Region 5,Region 30,11
Region 5,External,152
