osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"17478578",industrial,"2938","1","71022",71022 HASSELT,"8",LIMBURG,0.0144264389528707
"17478578",industrial,"2942","1","71022",71022 HASSELT,"8",LIMBURG,0.197422070316596
"17478578",industrial,"2954","1","71022",71022 HASSELT,"8",LIMBURG,0.106030540333845
"17478865",industrial,"2930","1","71022",71022 HASSELT,"8",LIMBURG,0.552524414875076
"17478865",industrial,"2946","1","71022",71022 HASSELT,"8",LIMBURG,0.00906284873979632
"17743553",industrial,"2934","1","71022",71022 HASSELT,"8",LIMBURG,0.225742830875385
"17743806",industrial,"2934","1","71022",71022 HASSELT,"8",LIMBURG,0.229715313253343
"18122996",industrial,"2942","1","71022",71022 HASSELT,"8",LIMBURG,0.396332956944458
"18122996",industrial,"2943","1","71022",71022 HASSELT,"8",LIMBURG,0.525300233855233
"35448061",residential,"2943","1","71022",71022 HASSELT,"8",LIMBURG,0.00206840423323214
"40665786",industrial,"2940","1","71022",71022 HASSELT,"8",LIMBURG,0.140171969978796
"82190014",retail,"2945","1","71022",71022 HASSELT,"8",LIMBURG,0.0381645459991172
"82480298",residential,"2946","1","71022",71022 HASSELT,"8",LIMBURG,0.0525749443178335
"82480331",residential,"2934","1","71022",71022 HASSELT,"8",LIMBURG,0.000145172401033342
"82480331",residential,"2946","1","71022",71022 HASSELT,"8",LIMBURG,0.00980706329007819
"82480391",residential,"2946","1","71022",71022 HASSELT,"8",LIMBURG,0.00175887879307568
"126298155",residential,"2948","1","71022",71022 HASSELT,"8",LIMBURG,0.26740514458069
"134875140",industrial,"2953","1","71022",71022 HASSELT,"8",LIMBURG,0.017800817141559
"134877119",industrial,"2959","1","71022",71022 HASSELT,"8",LIMBURG,0.016056230425586
"161112374",residential,"2938","1","71022",71022 HASSELT,"8",LIMBURG,0.0032152295100987
"170399842",industrial,"2948","1","71022",71022 HASSELT,"8",LIMBURG,0.00609550654295087
"170399868",residential,"2948","1","71022",71022 HASSELT,"8",LIMBURG,0.370851935825904
"170399868",residential,"2954","1","71022",71022 HASSELT,"8",LIMBURG,6.89230767376721e-05
"187731261",recreation_ground,"2933","1","71022",71022 HASSELT,"8",LIMBURG,0.00437920937496889
"220068836",residential,"2938","1","71022",71022 HASSELT,"8",LIMBURG,0.0134920684454888
"222013846",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.0057525720654726
"222019955",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.000102733655220596
"222115490",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.0198044928198894
"222115491",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.00888106986523792
"222115493",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.00032656149931252
"222115504",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.00555468452777574
"222115507",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.00201613279937208
"222115519",residential,"2957","1","71022",71022 HASSELT,"8",LIMBURG,0.000148161592068151
"226575076",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00231890017153881
"226575080",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00746573407242633
"226575086",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00997550410283357
"226575091",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.0268379045263752
"226589001",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00222968498584256
"226589005",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.0136833566278331
"226589008",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00769606452416861
"226589014",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00404445349171013
"226589020",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00385890303301904
"226589022",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.0067072574923709
"226589024",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00987784306039894
"226589026",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00853165738965571
"226589027",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.0050542800790146
"226589032",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.0117377072985587
"226589034",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00487759021799499
"226589038",residential,"2951","1","71022",71022 HASSELT,"8",LIMBURG,0.00206024472452025
