osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,Area_calc
"28282415",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0102771180174202
"43394314",residential,"1496","1","24062",24062 LEUVEN,"7",LEUVEN,0.000285769881483167
"43548667",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.0133391855312679
"43548667",residential,"1492","1","24062",24062 LEUVEN,"7",LEUVEN,0.178460303084388
"43549048",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.203482592607384
"43549048",residential,"1492","1","24062",24062 LEUVEN,"7",LEUVEN,0.126255414112806
"44001234",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00573608445410104
"44010998",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.131512551475849
"48988773",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0723422739274614
"56304125",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0258518180399276
"56304291",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0692172184791956
"56304333",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00903798741291463
"56306588",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00951256038406584
"56455901",industrial,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0298629107151777
"61289668",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0315494002287835
"61290370",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.577792951882795
"61320963",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0821507274229042
"77355477",residential,"1496","1","24062",24062 LEUVEN,"7",LEUVEN,0.0165889568438344
"78607053",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0535901105028465
"78607053",residential,"1486","1","24062",24062 LEUVEN,"7",LEUVEN,0.00139639432851598
"78607053",residential,"1487","1","24062",24062 LEUVEN,"7",LEUVEN,0.21393934399636
"78607374",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.019387650767073
"79010396",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0255546814621605
"79010717",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0112493558336031
"79010719",residential,"1485","1","24062",24062 LEUVEN,"7",LEUVEN,0.0235186781864265
"79010720",residential,"1485","1","24062",24062 LEUVEN,"7",LEUVEN,0.0186348048207955
"79010721",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0160507302941137
"79010724",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0132656042764882
"79010725",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.00911638271419844
"79011070",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.00981661669823807
"79011071",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.00011229144763574
"79011071",residential,"1485","1","24062",24062 LEUVEN,"7",LEUVEN,0.0316978157429681
"79011073",residential,"1485","1","24062",24062 LEUVEN,"7",LEUVEN,0.0361454232627642
"79011075",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.01601043487281
"79073840",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0164585889476759
"79073872",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0263606506432774
"79073872",residential,"1490","1","24062",24062 LEUVEN,"7",LEUVEN,0.00130256995383464
"79491555",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.004036443058526
"79947282",residential,"1471","1","24062",24062 LEUVEN,"7",LEUVEN,0.00176971312376558
"79947283",residential,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.0137264662953103
"79948142",residential,"1486","1","24062",24062 LEUVEN,"7",LEUVEN,0.0159903860408786
"79948194",residential,"1481","1","24062",24062 LEUVEN,"7",LEUVEN,0.0214736968354974
"80362661",residential,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.0131784626931972
"80362663",residential,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.0306455992934689
"80362705",residential,"1467","1","24062",24062 LEUVEN,"7",LEUVEN,1.94104374162853e-05
"80362705",residential,"1468","1","24062",24062 LEUVEN,"7",LEUVEN,0.000798136470638216
"80362705",residential,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.00719858307517134
"82712324",residential,"1470","1","24062",24062 LEUVEN,"7",LEUVEN,0.00688959882861373
