,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,7.6,7.7,17.3,9.8,3.5,13.0,2.1,2.4,7.4,12.5,3.9,2.5,7.9,6.2,4.5,5.9,2.7,7.4,1.6,3.6,0.5,0.4,2.7,1.8,0.9,1.0,8.8,3.4,2.2,0.5,0.5,4.8,0.0,1.6
1,9.8,0.0,5.8,27.2,9.2,6.1,12.4,1.4,3.5,7.9,5.9,1.8,2.8,5.8,6.4,6.0,5.6,10.2,8.2,2.4,0.0,5.3,2.5,6.4,2.5,0.0,3.5,7.5,2.0,3.8,0.0,0.0,1.6,1.0,3.5
2,10.2,3.9,0.0,19.4,7.3,6.6,23.0,8.0,6.0,14.5,10.2,4.0,11.8,2.9,7.7,5.8,11.5,9.4,3.1,0.8,0.9,5.6,6.0,4.0,2.0,0.0,3.8,9.6,5.8,3.4,1.9,0.7,1.0,0.3,4.5
3,31.5,32.2,16.5,0.0,18.8,18.8,23.0,4.2,6.9,23.6,21.2,8.1,14.3,13.1,11.6,13.8,24.3,27.3,15.8,5.5,2.1,14.9,4.2,11.1,1.0,1.9,7.8,24.9,8.1,11.5,2.5,2.0,4.8,1.7,2.3
4,12.6,6.9,5.7,12.7,0.0,2.5,9.3,1.3,3.1,3.4,9.7,3.3,5.7,6.1,12.5,6.9,5.9,6.1,3.9,0.6,0.9,0.7,2.2,2.1,0.0,0.0,2.7,10.2,5.6,5.2,0.6,0.0,5.0,1.8,3.7
5,0.4,1.7,1.2,5.6,0.6,0.0,2.7,0.6,0.0,1.6,0.9,1.7,5.0,3.5,0.5,3.7,1.3,7.2,1.6,1.7,3.7,1.6,2.8,4.8,2.5,0.0,1.7,5.6,2.5,2.0,1.5,0.0,3.3,0.8,1.8
6,37.1,18.0,32.7,37.5,17.8,16.2,0.0,14.9,18.0,51.3,30.7,8.3,19.8,16.5,9.2,7.2,25.2,15.5,13.6,4.0,2.4,21.0,11.8,5.5,3.5,0.9,7.9,16.1,4.3,3.5,1.5,0.0,4.5,2.5,5.5
7,6.5,4.4,11.0,8.8,4.9,4.8,13.5,0.0,4.4,21.2,10.7,1.7,11.1,6.0,7.0,5.0,9.3,5.1,1.9,0.0,1.6,1.9,7.4,0.9,0.0,1.0,6.7,8.0,5.5,0.0,0.0,0.0,2.9,2.0,2.6
8,4.3,2.5,5.8,10.9,3.5,1.3,14.1,4.9,0.0,12.6,6.7,1.2,5.2,1.6,2.8,4.1,2.2,5.4,1.7,0.8,0.0,2.6,4.1,0.0,1.9,1.8,5.2,6.1,1.9,1.0,0.0,0.9,0.0,0.8,1.7
9,11.9,4.3,14.1,24.0,6.6,9.1,33.3,10.6,14.0,0.0,15.5,10.1,15.2,4.3,9.6,3.7,14.9,12.0,7.3,2.4,1.7,6.2,13.5,4.0,1.0,1.7,9.5,13.3,8.3,4.6,0.8,1.7,9.8,2.8,8.9
10,28.4,15.0,32.0,35.1,17.3,10.1,35.4,8.3,10.8,28.3,0.0,17.3,39.1,14.1,14.4,11.5,16.8,11.8,8.6,0.0,1.7,13.0,13.4,6.2,3.5,1.6,20.9,19.7,9.8,3.9,0.0,1.0,7.1,1.7,9.8
