,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0.0,34.5,15.7,5.1,3.4,12.6,13.5,1.6,41.1,0.4,1.9,12.6,22.3,6.8,2.6,10.1,5.3,10.0,10.8,5.4,2.1,10.2,4.6,8.1,0.0,0.5,16.4,5.5,4.5,3.9,0.9,0.0,9.7,4.7,0.0,1.7,0.0,10.7,0.0,2.1,0.9,5.3,0.6,4.4
1,46.4,0.0,19.5,5.1,4.6,13.8,11.6,3.5,63.0,0.7,3.3,10.9,21.5,13.5,7.7,21.9,11.9,5.2,14.1,4.5,4.2,13.1,1.4,9.4,0.7,0.8,20.1,10.1,9.5,11.5,0.0,0.0,31.2,11.9,2.5,3.4,1.9,14.3,0.7,8.4,1.0,8.4,3.9,7.5
2,16.9,8.7,0.0,0.8,3.1,6.6,0.9,1.8,19.4,0.6,0.9,10.7,14.6,7.5,2.4,6.9,3.8,0.9,10.5,3.4,3.0,6.1,0.0,9.8,1.0,1.7,13.8,0.9,8.3,6.6,0.5,0.0,8.0,5.2,0.0,1.5,0.0,5.1,0.0,9.0,1.7,7.1,0.0,0.0
3,9.8,10.5,4.3,0.0,10.8,11.9,7.5,2.6,19.0,1.1,0.4,4.1,7.6,3.1,2.8,6.2,0.8,4.4,7.0,2.7,3.6,2.8,0.8,3.3,0.0,0.0,6.3,2.6,0.8,3.1,0.0,0.0,3.4,1.7,0.0,1.0,0.8,4.6,0.0,1.0,0.0,0.0,0.8,4.1
4,10.2,10.2,5.5,6.3,0.0,12.0,6.5,6.3,16.6,0.5,1.5,9.4,12.8,4.7,1.4,2.2,8.5,4.1,16.3,5.7,5.8,7.6,0.0,5.3,0.0,0.0,8.9,0.9,6.6,4.4,0.8,0.0,5.2,3.1,0.0,0.0,0.0,5.8,0.9,4.9,0.0,0.9,0.9,4.5
5,7.6,4.9,2.0,4.4,5.7,0.0,5.0,4.1,19.0,1.0,0.7,7.5,9.7,1.7,1.8,0.8,7.4,4.4,10.5,4.9,3.0,7.0,2.2,8.7,0.9,0.4,5.0,2.9,4.1,2.9,0.3,0.0,6.2,3.6,0.7,0.8,0.0,4.2,0.0,9.9,0.0,3.9,0.9,3.0
6,24.2,14.3,2.2,4.9,7.0,12.0,0.0,5.4,24.6,0.8,1.3,7.3,8.0,1.8,3.7,7.7,3.6,3.1,7.0,4.2,3.4,3.9,0.6,7.4,0.0,0.8,5.0,1.0,7.5,2.4,0.0,0.0,5.5,4.7,0.0,1.9,0.0,3.4,0.0,4.2,0.0,2.9,1.4,6.3
7,7.6,3.0,5.4,1.2,5.4,13.1,5.3,0.0,15.6,1.0,1.2,3.4,10.6,2.6,1.9,3.9,3.1,4.8,6.0,1.4,2.8,5.2,2.8,3.7,0.0,0.0,4.2,0.0,3.3,3.1,0.0,0.0,2.9,3.8,0.0,0.0,1.0,2.2,0.0,1.7,0.0,2.6,0.9,0.5
8,7.6,22.0,5.5,3.2,6.3,5.1,8.6,0.8,0.0,0.6,0.0,7.5,12.6,7.8,3.5,16.5,3.6,15.2,17.8,8.5,5.1,3.4,4.6,3.4,0.0,3.6,10.6,3.2,9.1,8.0,0.0,1.0,3.0,1.6,2.9,2.5,0.8,10.4,1.8,5.0,0.8,6.1,0.0,9.4
9,1.0,4.4,1.7,0.9,1.2,3.1,0.3,0.5,4.8,0.0,0.9,2.3,1.5,0.6,0.0,0.1,0.9,0.0,1.4,1.7,0.0,1.4,0.5,1.5,0.0,0.0,0.8,0.5,0.6,0.9,0.0,0.0,3.4,0.2,0.0,0.0,0.0,0.9,0.0,0.6,0.0,0.8,0.0,1.7
10,1.6,1.1,0.4,0.0,0.9,3.2,0.0,0.3,3.3,0.0,0.0,1.9,3.1,0.0,0.0,1.5,1.4,0.3,2.6,0.0,0.8,5.5,0.0,2.8,0.0,0.0,0.9,0.0,0.9,1.7,0.0,0.0,0.0,2.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.2,0.8,1.0
11,15.2,18.7,13.6,1.3,8.3,15.0,3.8,2.2,23.4,0.7,5.0,0.0,22.3,6.7,3.7,7.2,7.3,4.9,26.3,4.8,6.3,10.6,6.4,11.6,0.0,2.4,13.8,4.2,15.2,10.5,0.0,0.0,11.6,3.3,0.0,0.8,0.5,2.4,0.0,8.6,1.9,12.2,4.7,3.6
12,20.6,15.8,17.2,3.7,14.1,29.5,7.1,3.4,50.8,1.1,7.1,23.5,0.0,7.6,6.5,4.1,6.5,4.4,22.7,6.0,11.2,17.1,8.0,18.7,1.7,1.0,24.6,9.8,24.4,8.3,2.0,0.0,10.7,9.3,0.0,1.9,0.0,15.5,0.9,16.7,2.8,25.1,6.2,7.4
13,16.6,16.5,7.6,0.5,4.7,4.9,3.1,1.9,28.0,0.0,1.1,3.5,10.5,0.0,4.1,5.9,0.0,1.6,4.3,3.5,3.2,4.3,0.0,1.9,0.0,0.0,9.5,3.0,5.8,4.6,0.0,0.0,13.1,5.0,0.8,1.2,0.0,4.8,0.0,6.4,0.8,4.7,0.7,0.9
14,8.5,18.8,6.8,0.8,1.4,9.5,4.5,2.7,32.6,0.0,0.5,3.2,10.3,6.8,0.0,6.8,2.6,4.1,4.1,0.0,0.6,2.3,1.2,1.2,0.0,0.0,16.6,2.8,6.6,5.9,0.0,0.0,10.3,5.7,0.0,0.8,0.8,8.9,0.0,4.8,0.8,3.8,0.7,1.8
15,27.8,49.5,8.0,9.2,10.1,9.8,11.0,7.4,70.6,1.2,1.2,10.4,12.4,8.5,12.6,0.0,3.1,11.7,11.8,3.8,3.2,1.7,1.9,7.3,0.0,1.9,14.9,2.0,6.4,12.1,0.9,0.0,15.9,9.7,1.7,4.3,0.0,14.0,0.0,7.4,0.0,5.5,0.9,3.8
