CD_REFNIS,CD_SECTOR,TOTAL,TX_DESCR_SECTOR_NL
"11001",11001A00-,"2447",AARTSELAAR-CENTRUM
"11001",11001A01-,"2816",DE LEEUWERIK
"11001",11001A020,"715",BUERSTEDE
"11001",11001A030,"436",YSSELAAR
"11001",11001A042,"344",KLEINE GRIPPE
"11001",11001A052,"2151",LEUG
"11001",11001A063,"750",TEN DORPE
"11001",11001A074,"28",BRUINEN BAARD
"11001",11001A091,"591",KLEISTRAAT - OEVER
"11001",11001A0MA,"57",ZINKVAL
"11001",11001A0PA,"119",CLEYDAEL-KASTEEL
"11001",11001A10-,"788",'T HEIKEN
"11001",11001A173,"573",NOTELAAN
"11001",11001A190,"378",DE REUKENS
"11001",11001A20-,"1003",DE KOEKOEK
"11001",11001A21-,"1258",VIERPALEN
"11001",11001ZZZZ,"1",NIET TE LOKALISEREN IN EEN SECTOR
"11002",1100212MQ,"0",STABROEK
"11002",11002A00-,"2754",ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )
"11002",11002A01-,"1585",KLAPDORP - BROUWERSVLIET
"11002",11002A02-,"552",GROENPLAATS (SPAANSE WALLEN)
"11002",11002A03-,"1092",HOOGSTRAAT (SPAANSE WALLEN)
"11002",11002A04-,"1502",OUDAAN (SPAANSE WALLEN)
"11002",11002A05-,"1605",GEVANGENIS (SPAANSE WALLEN)
"11002",11002A081,"0",SCHELDEKADEN NOORD
"11002",11002A10-,"1694",MEIR - LEYSSTRAAT (SP. WALLEN)
"11002",11002A11-,"1945",KIPDORP-ST.-JACOBS (SP.WALLEN)
"11002",11002A12-,"963",K.N.S.-NAT. BANK (SP. WALLEN)
"11002",11002A13-,"2084",STADSWAAG-BEGIJNHOF(SP.WALLEN)
"11002",11002A14-,"1038",TABAKSVEST (SPAANSE WALLEN)
"11002",11002A15-,"1448",HESSENHUIS (SPAANSE WALLEN)
"11002",11002A21-,"2748",ST.-ANDRIES (SPAANSE WALLEN)
"11002",11002A22-,"1722",ST.-MICHIELSKAAI (SP. WALLEN)
"11002",11002B701,"5198",LINKEROEVER-ZUID (LINKEROEVER)
"11002",11002B71-,"1931",LINKEROEVER - STATION
"11002",11002B721,"3984",LINKEROEVER-NOORD
"11002",11002B73-,"50",ST.-ANNA (LINKEROEVER)
"11002",11002B742,"1753",THOENETLAAN (LINKEROEVER)
"11002",11002B752,"174",GLORIANTLAAN (LINKEROEVER)
"11002",11002B782,"170",GALGEWEEL (LINKEROEVER)
