,CD_REFNIS,CD_SECTOR,TOTAL,TX_DESCR_SECTOR_NL,ZONENUMMER
0,11001,11001A00-,2447,AARTSELAAR-CENTRUM,1.0
1,11001,11001A01-,2816,DE LEEUWERIK,2.0
2,11001,11001A020,715,BUERSTEDE,3.0
3,11001,11001A030,436,YSSELAAR,2.0
4,11001,11001A042,344,KLEINE GRIPPE,4.0
5,11001,11001A052,2151,LEUG,1.0
6,11001,11001A063,750,TEN DORPE,1.0
7,11001,11001A074,28,BRUINEN BAARD,4.0
8,11001,11001A091,591,KLEISTRAAT - OEVER,1.0
9,11001,11001A0MA,57,ZINKVAL,3.0
10,11001,11001A0PA,119,CLEYDAEL-KASTEEL,3.0
11,11001,11001A10-,788,'T HEIKEN,5.0
12,11001,11001A173,573,NOTELAAN,3.0
13,11001,11001A190,378,DE REUKENS,5.0
14,11001,11001A20-,1003,DE KOEKOEK,6.0
15,11001,11001A21-,1258,VIERPALEN,7.0
16,11001,11001ZZZZ,1,NIET TE LOKALISEREN IN EEN SECTOR,
17,11002,1100212MQ,0,STABROEK,106.0
18,11002,11002A00-,2754,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),8.0
19,11002,11002A01-,1585,KLAPDORP - BROUWERSVLIET,9.0
20,11002,11002A02-,552,GROENPLAATS (SPAANSE WALLEN),10.0
21,11002,11002A03-,1092,HOOGSTRAAT (SPAANSE WALLEN),11.0
22,11002,11002A04-,1502,OUDAAN (SPAANSE WALLEN),12.0
23,11002,11002A05-,1605,GEVANGENIS (SPAANSE WALLEN),13.0
24,11002,11002A081,0,SCHELDEKADEN NOORD,14.0
25,11002,11002A10-,1694,MEIR - LEYSSTRAAT (SP. WALLEN),15.0
26,11002,11002A11-,1945,KIPDORP-ST.-JACOBS (SP.WALLEN),16.0
27,11002,11002A12-,963,K.N.S.-NAT. BANK (SP. WALLEN),17.0
28,11002,11002A13-,2084,STADSWAAG-BEGIJNHOF(SP.WALLEN),18.0
29,11002,11002A14-,1038,TABAKSVEST (SPAANSE WALLEN),19.0
30,11002,11002A15-,1448,HESSENHUIS (SPAANSE WALLEN),20.0
31,11002,11002A21-,2748,ST.-ANDRIES (SPAANSE WALLEN),14.0
32,11002,11002A22-,1722,ST.-MICHIELSKAAI (SP. WALLEN),14.0
33,11002,11002B701,5198,LINKEROEVER-ZUID (LINKEROEVER),21.0
34,11002,11002B71-,1931,LINKEROEVER - STATION,22.0
35,11002,11002B721,3984,LINKEROEVER-NOORD,23.0
36,11002,11002B73-,50,ST.-ANNA (LINKEROEVER),23.0
37,11002,11002B742,1753,THOENETLAAN (LINKEROEVER),23.0
38,11002,11002B752,174,GLORIANTLAAN (LINKEROEVER),21.0
39,11002,11002B782,170,GALGEWEEL (LINKEROEVER),24.0
40,11002,11002B791,330,ST.-ANNABOS (LINKEROEVER ),25.0
41,11002,11002B813,2403,BLANCEFLOERLAAN  (LINKEROEVER),24.0
42,11002,11002B824,552,CHARLES DE COSTERLAAN(L.OEVER),24.0
43,11002,11002C20-,378,STATIEKWARTIER (STATIONSWIJK),26.0
44,11002,11002C21-,1911,ATHENEUM (STATIONSWIJK),27.0
45,11002,11002C22-,1933,DE CONINCPLEIN-Z.(STATIONSW.),28.0
46,11002,11002C23-,3426,OFFERANDESTRAAT(STATIONSWIJK ),29.0
47,11002,11002C24-,3479,PROVINCIESTRAAT(STATIONSWIJK ),30.0
48,11002,11002C25-,3648,PELIKAANSTRAAT (STATIONSWIJK ),31.0
49,11002,11002C28-,0,STATION - ZOO (STATIONSWIJK ),32.0
50,11002,11002C29-,0,STADSPARK (STATIONSWIJK ),33.0
51,11002,11002C31-,1341,JEZUITENCOLLEGE(STATIONSWIJK ),33.0
52,11002,11002C41-,3048,DAMBRUGGESTRAAT-N.(STATIONSW.),34.0
53,11002,11002C42-,3546,DE ZAVEL (NOORDWIJK ),35.0
54,11002,11002C43-,2356,ST.-WILLEBRORDUS (NOORDWIJK ),35.0
55,11002,11002C44-,2075,POTGIETERSTRAAT (NOORDWIJK),36.0
56,11002,11002C45-,2735,STUIVENBERG ZIEKENHUIS(NOORDW),37.0
57,11002,11002C491,0,SCHIJNPOORT (DAM-SCHIJNPOORT ),37.0
58,11002,11002D30-,4367,CHARLOTTALEI (OOSTWIJK),38.0
59,11002,11002D31-,3097,ASTRID BAD (OOSTWIJK),39.0
60,11002,11002D32-,4072,ST.-VINCENTIUS (OOSTWIJK),40.0
61,11002,11002D33-,3328,STADSPARK-ZUID (OOSTWIJK),41.0
62,11002,11002D34-,5555,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),42.0
63,11002,11002D35-,1554,VAN DIEPENBEECKSTR. (OOSTWIJK),39.0
64,11002,11002D38-,9,GAS (OOSTWIJK),43.0
65,11002,11002D41-,3594,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),44.0
