CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
11001A00-,AARTSELAAR-CENTRUM,"1","1",11001 AARTSELAAR
11001A01-,DE LEEUWERIK,"2","1",11001 AARTSELAAR
11001A020,BUERSTEDE,"3","1",11001 AARTSELAAR
11001A030,YSSELAAR,"2","1",11001 AARTSELAAR
11001A042,KLEINE GRIPPE,"4","1",11001 AARTSELAAR
11001A052,LEUG,"1","1",11001 AARTSELAAR
11001A063,TEN DORPE,"1","1",11001 AARTSELAAR
11001A074,BRUINEN BAARD,"4","1",11001 AARTSELAAR
11001A091,KLEISTRAAT - OEVER,"1","1",11001 AARTSELAAR
11001A0MA,ZINKVAL,"3","1",11001 AARTSELAAR
11001A0PA,CLEYDAEL-KASTEEL,"3","1",11001 AARTSELAAR
11001A10-,'T HEIKEN,"5","1",11001 AARTSELAAR
11001A173,NOTELAAN,"3","1",11001 AARTSELAAR
11001A190,DE REUKENS,"5","1",11001 AARTSELAAR
11001A20-,DE KOEKOEK,"6","1",11001 AARTSELAAR
11001A21-,VIERPALEN,"7","1",11001 AARTSELAAR
1100212MQ,STABROEK,"106","1",11002 ANTWERPEN
11002A00-,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),"8","1",11002 ANTWERPEN
11002A01-,KLAPDORP - BROUWERSVLIET,"9","1",11002 ANTWERPEN
11002A02-,GROENPLAATS (SPAANSE WALLEN),"10","1",11002 ANTWERPEN
11002A03-,HOOGSTRAAT (SPAANSE WALLEN),"11","1",11002 ANTWERPEN
11002A04-,OUDAAN (SPAANSE WALLEN),"12","1",11002 ANTWERPEN
11002A05-,GEVANGENIS (SPAANSE WALLEN),"13","1",11002 ANTWERPEN
11002A081,SCHELDEKADEN NOORD,"14","1",11002 ANTWERPEN
11002A10-,MEIR - LEYSSTRAAT (SP. WALLEN),"15","1",11002 ANTWERPEN
11002A11-,KIPDORP-ST.-JACOBS (SP.WALLEN),"16","1",11002 ANTWERPEN
11002A12-,K.N.S.-NAT. BANK (SP. WALLEN),"17","1",11002 ANTWERPEN
11002A13-,STADSWAAG-BEGIJNHOF(SP.WALLEN),"18","1",11002 ANTWERPEN
11002A14-,TABAKSVEST (SPAANSE WALLEN),"19","1",11002 ANTWERPEN
11002A15-,HESSENHUIS (SPAANSE WALLEN),"20","1",11002 ANTWERPEN
11002A21-,ST.-ANDRIES (SPAANSE WALLEN),"14","1",11002 ANTWERPEN
11002A22-,ST.-MICHIELSKAAI (SP. WALLEN),"14","1",11002 ANTWERPEN
11002B701,LINKEROEVER-ZUID (LINKEROEVER),"21","1",11002 ANTWERPEN
11002B71-,LINKEROEVER - STATION,"22","1",11002 ANTWERPEN
11002B721,LINKEROEVER-NOORD,"23","1",11002 ANTWERPEN
11002B73-,ST.-ANNA (LINKEROEVER),"23","1",11002 ANTWERPEN
11002B742,THOENETLAAN (LINKEROEVER),"23","1",11002 ANTWERPEN
